,Line Name,dgfp_dt,p1,p2,p3,p4,p5
212,SP139-r3,192.43320429243047,3.0,10.0,18.0,22.0,26.0
213,SP145-r1,164.24627152387094,2.0,8.0,15.0,24.0,30.0
214,SP145-r2,163.87718176479038,2.0,8.0,15.0,24.0,30.0
215,SP145-r3,180.18158271039047,2.0,8.0,15.0,24.0,30.0
216,SP148-r1,209.7433735967018,6.0,12.0,18.0,24.0,25.0
217,SP148-r2,216.74616945910688,6.0,12.0,18.0,24.0,25.0
218,SP148-r3,205.82553442675027,6.0,12.0,18.0,24.0,25.0
219,SP150-r1,193.91712917351924,5.0,10.0,17.0,21.0,29.0
220,SP150-r2,201.12710078605014,5.0,10.0,17.0,21.0,29.0
221,SP150-r3,194.39139753446096,5.0,10.0,17.0,21.0,29.0
222,SP152-r1,150.93557905019875,2.0,8.0,15.0,20.0,27.0
223,SP152-r2,175.89253514941666,2.0,8.0,15.0,20.0,27.0
224,SP152-r3,170.27503770634496,2.0,8.0,15.0,20.0,27.0
225,SP153-r1,106.82919452999441,5.0,11.0,13.0,23.0,29.0
226,SP153-r2,98.2904018154949,5.0,11.0,13.0,23.0,29.0
227,SP153-r3,93.53753809628594,5.0,11.0,13.0,23.0,29.0
228,SP156-r1,181.15995283329735,6.0,9.0,18.0,20.0,25.0
229,SP156-r2,187.01378875785184,6.0,9.0,18.0,20.0,25.0
230,SP156-r3,179.35778657970897,6.0,9.0,18.0,20.0,25.0
231,SP158-r1,156.64655260177008,6.0,8.0,18.0,19.0,30.0
232,SP158-r2,157.21020135513186,6.0,8.0,18.0,19.0,30.0
233,SP158-r3,174.479259678302,6.0,8.0,18.0,19.0,30.0
234,SP160-r1,196.06948416063855,1.0,10.0,13.0,20.0,25.0
235,SP160-r2,183.0891429334712,1.0,10.0,13.0,20.0,25.0
236,SP160-r3,181.5012480192835,1.0,10.0,13.0,20.0,25.0
237,SP164-r1,195.14250765848033,2.0,12.0,16.0,22.0,28.0
238,SP164-r2,212.1295238377244,2.0,12.0,16.0,22.0,28.0
239,SP164-r3,194.84779738032404,2.0,12.0,16.0,22.0,28.0
240,SP165-r1,124.77023772560965,1.0,10.0,15.0,24.0,29.0
241,SP165-r2,126.57371944633599,1.0,10.0,15.0,24.0,29.0
242,SP165-r3,129.15462910691858,1.0,10.0,15.0,24.0,29.0
243,SP166-r1,110.85780435382743,4.0,12.0,13.0,24.0,30.0
244,SP166-r2,108.12631839550464,4.0,12.0,13.0,24.0,30.0
245,SP166-r3,104.30898387934147,4.0,12.0,13.0,24.0,30.0
246,SP167-r1,99.30342930695511,3.0,9.0,15.0,21.0,30.0
247,SP167-r2,120.40787689902267,3.0,9.0,15.0,21.0,30.0
248,SP167-r3,115.86076282490585,3.0,9.0,15.0,21.0,30.0
249,SP171-r1,122.7754852785867,3.0,10.0,15.0,19.0,26.0
250,SP171-r2,153.0262404551774,3.0,10.0,15.0,19.0,26.0
251,SP171-r3,151.39810836929522,3.0,10.0,15.0,19.0,26.0
252,SP172-r1,199.77971212087473,3.0,9.0,13.0,24.0,29.0
253,SP172-r2,179.2380461696858,3.0,9.0,13.0,24.0,29.0
254,SP172-r3,165.03903326404603,3.0,9.0,13.0,24.0,29.0
255,SP176-r1,148.6386159873844,2.0,8.0,15.0,22.0,27.0
256,SP176-r2,192.82176183444412,2.0,8.0,15.0,22.0,27.0
257,SP176-r3,196.4115870601405,2.0,8.0,15.0,22.0,27.0
258,SP179-r1,196.96597176805412,4.0,12.0,17.0,22.0,25.0
